asset
A1KA34
A1MD34
AALL34
AALR3
AAPL34
ABCB4
ABCP11
ABEV3
ADBE34
ADHM3
ADPR34
AFLT3
AGRO3
ALMI11
ALPA3
ALPA4
ALSO3
ALUP11
ALUP3
ALUP4
ALZR11
AMAR3
AMGN34
AMZO34
ANIM3
APER3
ARRI11
ARZZ3
ATMP3
ATOM3
ATTB34
AVGO34
AXPB34
AZEV3
AZEV4
AZUL4
B1MR34
B3SA3
BABA34
BAHI3
BALM4
BARI11
BAUH4
BAZA3
BBAS3
BBDC3
BBDC4
BBFI11B
BBPO11
BBRC11
BBRK3
BBSD11
BBSE3
BBVJ11
BCFF11
BCIA11
BCRI11
BCSA34
BDLL4
BEEF11
BEEF3
BEES3
BEES4
BERK34
BGIP4
BICR11
BIDI11
BIDI3
BIDI4
BIIB34
BIOM11
BIOM3
BKBR3
BKNG34
BMEB3
BMEB4
BMGB4
BMIN4
BMKS3
BMLC11B
BMYB34
BNBR3
BNFS11
BOAC34
BOBR4
BOVA11
BOVB11
BOVV11
BPAC11
BPAC3
BPAC5
BPAN4
BPFF11
BPML11
BPRP11
BRAP3
BRAP4
BRAX11
BRCO11
BRCR11
BRDT3
BRFS3
BRIV4
BRKM3
BRKM5
BRML3
BRPR3
BRSR3
BRSR6
BRZP11
BSEV3
BTCR11
BTLG11
BTOW3
BTTL3
C1CL34
C1HR34
CAMB3
CAML3
CARD3
CARE11
CBEE3
CBOP11
CCPR3
CCRO3
CEAB3
CEDO4
CEEB3
CEOC11
CESP3
CESP5
CESP6
CGAS5
CGRA3
CGRA4
CHKE34
CHVX34
CIEL3
CLSC4
CMCS34
CMIG3
CMIG4
CNES11
CNTO3
COCA34
COCE5
COGN3
COWC34
CPFE3
CPFF11
CPLE3
CPLE6
CPRE3
CPTS11B
CRDE3
CRFB3
CRFF11
CRPG5
CRPG6
CSAN3
CSMG3
CSNA3
CSRN3
CTGP34
CTNM3
CTNM4
CTSA3
CTSA4
CTXT11
CVBI11
CVCB3
CVSH34
CXCE11B
CXRI11
CYRE3
DASA3
DDNB34
DIRR3
DISB34
DIVO11
DMAC11
DMMO11
DMMO3
DOHL4
DRIT11B
DTCY3
DTEX3
EALT4
ECOO11
ECOR3
EDFO11B
EDGA11
EGIE3
EKTR4
ELET3
ELET6
EMAE4
EMBR3
ENAT3
ENBR3
ENEV3
ENGI11
ENGI3
ENGI4
ENMT3
ENMT4
EQIX34
